# DESCRIPTION:
# Reference: Rasmussen, S.O., Bigler, M., Blockley, S.P., Blunier, T., Buchardt, S.L., Clausen, H.B., Cvijanovic, I., Dahl-Jensen, D., Johnsen, S.J., Fischer, H., Gkinis, V., Guillevic, M., Hoek, W.Z., Lowe, J.J., Pedro, J.B., Popp, T., Seierstad, I.K., Steffensen, J.P., Svensson, A.M., Vallelonga, P., Vinther, B.M., Walker, M.J.C., Wheatley, J.J., Winstrup, M., 2014. A stratigraphic framework for abrupt climatic changes during the Last Glacial period based on three synchronized Greenland ice-core records: refining and extending the INTIMATE event stratigraphy. Quaternary Science Reviews 106, 14-28, https://doi.org/10.1016/j.quascirev.2014.09.007
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 28 Oct 2022.
# Comment: NGRIP1 and NGRIP2 were combined, double dates were removed, years were converted to kyr

Age [kyr b2k] (GICC05),δ18O [‰],Ca2+ [ppb]
18.65,-40.96,186.09
18.67,-40.11,176.22
18.69,-41.72,214.06
18.71,-41.08,213.45
18.73,-41.03,213.92
18.75,-42.67,220.98
18.77,-42.23,175.36
18.79,-41.44,171.86
18.81,-41.26,200.98
18.83,-40.87,184.8
18.85,-41.97,156.18
18.87,-40.38,163.56
18.89,-40.27,188.91
18.91,-42.35,326.81
18.93,-42.09,208.31
18.95,-40.86,216.54
18.97,-42.1,173.87
18.99,-41.3,226.4
19.01,-42.16,208.42
19.03,-40.06,172.8
19.05,-42.6,174.97
19.07,-41.82,134.89
19.09,-42.04,186.33
19.11,-41.48,240.61
19.13,-42.49,201.04
19.15,-42.76,301.56
19.17,-41.37,208.97
19.19,-43.71,243.48
19.21,-42.55,233.45
19.23,-40.5,233.79
19.25,-43.76,202.17
19.27,-41.24,192.89
19.29,-42.71,236.41
19.31,-40.43,165.56
19.33,-41.26,135.47
19.35,-41.7,136.67
19.37,-41.73,156.88
19.39,-42.88,171.9
19.41,-43.08,194.8
19.43,-42.34,222.44
19.45,-40.83,185.51
19.47,-41.37,168.67
19.49,-42.16,178.01
19.51,-41.37,185.48
19.53,-42.64,
19.55,-40.95,162.62
19.57,-42.53,204.15
19.59,-40.46,176.69
19.61,-40.85,221.72
19.63,-40.88,164.08
